verbose name,date,count_in
Dome Gallery L4 Lift exit/entry test State Library Victoria,2022-06-06,0
Dome Gallery L4 Lift exit/entry test State Library Victoria,2022-06-07,0
Dome Gallery L4 Lift exit/entry test State Library Victoria,2022-06-08,0
Dome Gallery L4 Lift exit/entry test State Library Victoria,2022-06-09,0
Dome Gallery L4 Lift exit/entry test State Library Victoria,2022-06-10,0
Dome Gallery L4 Lift exit/entry test State Library Victoria,2022-06-11,0
Dome Gallery L4 Lift exit/entry test State Library Victoria,2022-06-12,0
External Entry - Entry 1 Adult State Library Victoria,2022-06-06,2731
External Entry - Entry 1 Adult State Library Victoria,2022-06-07,2660
External Entry - Entry 1 Adult State Library Victoria,2022-06-08,2759
External Entry - Entry 1 Adult State Library Victoria,2022-06-09,2825
External Entry - Entry 1 Adult State Library Victoria,2022-06-10,2940
External Entry - Entry 1 Adult State Library Victoria,2022-06-11,3736
External Entry - Entry 1 Adult State Library Victoria,2022-06-12,3966
External Entry - Entry 1 All State Library Victoria,2022-06-06,2803
External Entry - Entry 1 All State Library Victoria,2022-06-07,2722
External Entry - Entry 1 All State Library Victoria,2022-06-08,2814
External Entry - Entry 1 All State Library Victoria,2022-06-09,2911
External Entry - Entry 1 All State Library Victoria,2022-06-10,2994
External Entry - Entry 1 All State Library Victoria,2022-06-11,3844
External Entry - Entry 1 All State Library Victoria,2022-06-12,4148
External Entry - Entry 1 Child State Library Victoria,2022-06-06,72
External Entry - Entry 1 Child State Library Victoria,2022-06-07,62
External Entry - Entry 1 Child State Library Victoria,2022-06-08,55
External Entry - Entry 1 Child State Library Victoria,2022-06-09,86
External Entry - Entry 1 Child State Library Victoria,2022-06-10,54
External Entry - Entry 1 Child State Library Victoria,2022-06-11,108
External Entry - Entry 1 Child State Library Victoria,2022-06-12,182
External Entry - Entry 2 Mr Tulk Adult State Library Victoria,2022-06-06,887
External Entry - Entry 2 Mr Tulk Adult State Library Victoria,2022-06-07,764
External Entry - Entry 2 Mr Tulk Adult State Library Victoria,2022-06-08,1039
External Entry - Entry 2 Mr Tulk Adult State Library Victoria,2022-06-09,858
External Entry - Entry 2 Mr Tulk Adult State Library Victoria,2022-06-10,851
External Entry - Entry 2 Mr Tulk Adult State Library Victoria,2022-06-11,1139
External Entry - Entry 2 Mr Tulk Adult State Library Victoria,2022-06-12,1114
External Entry - Entry 2 Mr Tulk All MATH ZONE State Library Victoria,2022-06-06,453
External Entry - Entry 2 Mr Tulk All MATH ZONE State Library Victoria,2022-06-07,393
External Entry - Entry 2 Mr Tulk All MATH ZONE State Library Victoria,2022-06-08,533
