name,count_in,count_out,inside,date,time
Defunct,0,0,0,2022-01-03,08:00:00
Defunct,0,0,0,2022-01-03,08:30:00
Defunct,0,10,-10,2022-01-03,09:00:00
Defunct,0,0,-10,2022-01-03,09:30:00
Defunct,0,0,0,2022-01-03,10:00:00
Defunct,0,0,0,2022-01-03,10:30:00
Defunct,0,0,0,2022-01-03,11:00:00
Defunct,0,0,0,2022-01-03,11:30:00
Defunct,0,0,0,2022-01-03,12:00:00
Defunct,0,0,0,2022-01-03,12:30:00
Defunct,0,0,0,2022-01-03,13:00:00
Defunct,0,0,0,2022-01-03,13:30:00
Defunct,0,0,0,2022-01-03,14:00:00
Defunct,0,0,0,2022-01-03,14:30:00
Defunct,0,0,0,2022-01-03,15:00:00
Defunct,0,0,0,2022-01-03,15:30:00
Defunct,0,0,0,2022-01-03,16:00:00
Defunct,0,0,0,2022-01-03,16:30:00
Defunct,0,0,0,2022-01-03,17:00:00
Defunct,0,0,0,2022-01-03,17:30:00
Defunct,0,0,0,2022-01-03,18:00:00
Defunct,0,0,0,2022-01-03,18:30:00
Defunct,0,20,-20,2022-01-03,19:00:00
Defunct,0,0,0,2022-01-03,19:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,08:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,08:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,09:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,09:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,10:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,10:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,11:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,11:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,12:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,12:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,13:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,13:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,14:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,14:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,15:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,15:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,16:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,16:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,17:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,17:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,18:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,18:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,19:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-01-03,19:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,08:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,08:30:00
External Entry - Entry 1 Adult,0,1,-1,2022-01-03,09:00:00
External Entry - Entry 1 Adult,0,0,-1,2022-01-03,09:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,10:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,10:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,11:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,11:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,12:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,12:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,13:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,13:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,14:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,14:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,15:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,15:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,16:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,16:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,17:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,17:30:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,18:00:00
External Entry - Entry 1 Adult,0,0,0,2022-01-03,18:30:00
External Entry - Entry 1 Adult,0,2,-2,2022-01-03,19:00:00
