name,count_in,count_out,inside,date,time
Defunct,27,17,10,2022-06-07,08:00:00
Defunct,23,21,2,2022-06-06,08:00:00
Defunct,127,19,118,2022-06-07,08:30:00
Defunct,37,123,32,2022-06-07,09:00:00
Defunct,49,131,-50,2022-06-07,09:30:00
Defunct,26343,3036,23307,2022-06-07,10:00:00
Defunct,14641,3122,11519,2022-06-07,10:30:00
Defunct,14043,6731,7312,2022-06-07,11:00:00
Defunct,13431,8129,5302,2022-06-07,11:30:00
Defunct,17055,18960,-1905,2022-06-07,12:00:00
Defunct,22347,13743,8604,2022-06-07,12:30:00
Defunct,20155,15051,5104,2022-06-07,13:00:00
Defunct,21368,16361,5007,2022-06-07,13:30:00
Defunct,29242,19670,9572,2022-06-07,14:00:00
Defunct,18024,18534,-510,2022-06-07,14:30:00
Defunct,18439,17141,1298,2022-06-07,15:00:00
Defunct,22231,17536,4695,2022-06-07,15:30:00
Defunct,15235,19530,-4295,2022-06-07,16:00:00
Defunct,9782,24872,-15090,2022-06-07,16:30:00
Defunct,721,1750,-1029,2022-06-07,17:00:00
Defunct,243,3665,-3422,2022-06-07,17:30:00
Defunct,215,214,1,2022-06-07,18:00:00
Defunct,29,7,22,2022-06-07,18:30:00
Defunct,20,120,-100,2022-06-07,19:00:00
Defunct,20,50,-30,2022-06-07,19:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,08:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,08:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,09:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,09:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,10:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,10:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,11:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,11:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,12:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,12:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,13:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,13:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,14:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,14:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,15:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-07,15:30:00
Defunct,41,34,9,2022-06-06,08:30:00
Defunct,139,129,19,2022-06-06,09:00:00
Defunct,62,50,31,2022-06-06,09:30:00
Defunct,27265,4434,22831,2022-06-06,10:00:00
Defunct,18856,5849,13007,2022-06-06,10:30:00
Defunct,15452,16152,-700,2022-06-06,11:00:00
Defunct,15597,12754,2843,2022-06-06,11:30:00
Defunct,17763,10963,6800,2022-06-06,12:00:00
Defunct,14256,16767,-2511,2022-06-06,12:30:00
Defunct,21861,17450,4411,2022-06-06,13:00:00
Defunct,21059,14651,6408,2022-06-06,13:30:00
Defunct,21047,16349,4698,2022-06-06,14:00:00
Defunct,17131,14442,2689,2022-06-06,14:30:00
Defunct,18325,18231,94,2022-06-06,15:00:00
Defunct,18831,16930,1901,2022-06-06,15:30:00
Defunct,20229,22343,-2114,2022-06-06,16:00:00
Defunct,11377,24466,-13089,2022-06-06,16:30:00
Defunct,916,2324,-1408,2022-06-06,17:00:00
Defunct,290,4140,-3850,2022-06-06,17:30:00
Defunct,780,640,140,2022-06-06,18:00:00
Defunct,171,714,-543,2022-06-06,18:30:00
Defunct,20,90,-70,2022-06-06,19:00:00
Defunct,20,40,-20,2022-06-06,19:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,08:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,08:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,09:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,09:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,10:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,10:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,11:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,11:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,12:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,12:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,13:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,13:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,14:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,14:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,15:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,15:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,16:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,16:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,17:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,17:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,18:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,18:30:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,19:00:00
Dome Gallery L4 Lift exit/entry test,0,0,0,2022-06-06,19:30:00
External Entry - Entry 1 Adult,0,0,0,2022-06-06,08:00:00
External Entry - Entry 1 Adult,0,0,0,2022-06-06,08:30:00
External Entry - Entry 1 Adult,1,1,0,2022-06-06,09:00:00
External Entry - Entry 1 Adult,0,0,0,2022-06-06,09:30:00
External Entry - Entry 1 Adult,253,43,210,2022-06-06,10:00:00
External Entry - Entry 1 Adult,179,57,122,2022-06-06,10:30:00
External Entry - Entry 1 Adult,152,144,8,2022-06-06,11:00:00
External Entry - Entry 1 Adult,153,122,31,2022-06-06,11:30:00
External Entry - Entry 1 Adult,177,108,69,2022-06-06,12:00:00
External Entry - Entry 1 Adult,141,166,-25,2022-06-06,12:30:00
External Entry - Entry 1 Adult,214,174,40,2022-06-06,13:00:00
External Entry - Entry 1 Adult,209,144,65,2022-06-06,13:30:00
External Entry - Entry 1 Adult,209,161,48,2022-06-06,14:00:00
External Entry - Entry 1 Adult,170,144,26,2022-06-06,14:30:00
External Entry - Entry 1 Adult,180,182,-2,2022-06-06,15:00:00
External Entry - Entry 1 Adult,188,164,24,2022-06-06,15:30:00
External Entry - Entry 1 Adult,202,222,-20,2022-06-06,16:00:00
External Entry - Entry 1 Adult,111,243,-132,2022-06-06,16:30:00
External Entry - Entry 1 Adult,88,229,-141,2022-06-06,17:00:00
External Entry - Entry 1 Adult,28,412,-384,2022-06-06,17:30:00
External Entry - Entry 1 Adult,59,63,-4,2022-06-06,18:00:00
External Entry - Entry 1 Adult,13,5,8,2022-06-06,18:30:00
External Entry - Entry 1 Adult,2,9,-7,2022-06-06,19:00:00
External Entry - Entry 1 Adult,2,4,-2,2022-06-06,19:30:00
External Entry - Entry 1 All,0,0,0,2022-06-06,08:00:00
External Entry - Entry 1 All,0,0,0,2022-06-06,08:30:00
External Entry - Entry 1 All,1,1,0,2022-06-06,09:00:00
External Entry - Entry 1 All,0,0,0,2022-06-06,09:30:00
External Entry - Entry 1 All,272,44,228,2022-06-06,10:00:00
External Entry - Entry 1 All,188,58,130,2022-06-06,10:30:00
External Entry - Entry 1 All,154,161,-7,2022-06-06,11:00:00
External Entry - Entry 1 All,155,127,28,2022-06-06,11:30:00
External Entry - Entry 1 All,177,109,68,2022-06-06,12:00:00
External Entry - Entry 1 All,142,167,-25,2022-06-06,12:30:00
External Entry - Entry 1 All,218,174,44,2022-06-06,13:00:00
External Entry - Entry 1 All,210,146,64,2022-06-06,13:30:00
External Entry - Entry 1 All,210,163,47,2022-06-06,14:00:00
External Entry - Entry 1 All,171,144,27,2022-06-06,14:30:00
External Entry - Entry 1 All,183,182,1,2022-06-06,15:00:00
External Entry - Entry 1 All,188,169,19,2022-06-06,15:30:00
External Entry - Entry 1 All,202,223,-21,2022-06-06,16:00:00
External Entry - Entry 1 All,113,244,-131,2022-06-06,16:30:00
External Entry - Entry 1 All,91,232,-141,2022-06-06,17:00:00
External Entry - Entry 1 All,29,414,-385,2022-06-06,17:30:00
External Entry - Entry 1 All,78,64,14,2022-06-06,18:00:00
External Entry - Entry 1 All,17,7,10,2022-06-06,18:30:00
External Entry - Entry 1 All,2,9,-7,2022-06-06,19:00:00
External Entry - Entry 1 All,2,4,-2,2022-06-06,19:30:00
External Entry - Entry 1 Child,0,0,0,2022-06-06,08:00:00
External Entry - Entry 1 Child,0,0,0,2022-06-06,08:30:00
External Entry - Entry 1 Child,0,0,0,2022-06-06,09:00:00
External Entry - Entry 1 Child,0,0,0,2022-06-06,09:30:00
External Entry - Entry 1 Child,19,1,18,2022-06-06,10:00:00
External Entry - Entry 1 Child,9,1,8,2022-06-06,10:30:00
External Entry - Entry 1 Child,2,17,-15,2022-06-06,11:00:00
External Entry - Entry 1 Child,2,5,-3,2022-06-06,11:30:00
External Entry - Entry 1 Child,0,1,-1,2022-06-06,12:00:00
External Entry - Entry 1 Child,1,1,0,2022-06-06,12:30:00
External Entry - Entry 1 Child,4,0,4,2022-06-06,13:00:00
External Entry - Entry 1 Child,1,2,-1,2022-06-06,13:30:00
External Entry - Entry 1 Child,1,2,-1,2022-06-06,14:00:00
External Entry - Entry 1 Child,1,0,1,2022-06-06,14:30:00
External Entry - Entry 1 Child,3,0,3,2022-06-06,15:00:00
External Entry - Entry 1 Child,0,5,-5,2022-06-06,15:30:00
External Entry - Entry 1 Child,0,1,-1,2022-06-06,16:00:00
External Entry - Entry 1 Child,2,1,1,2022-06-06,16:30:00
External Entry - Entry 1 Child,3,3,0,2022-06-06,17:00:00
External Entry - Entry 1 Child,1,2,-1,2022-06-06,17:30:00
External Entry - Entry 1 Child,19,1,18,2022-06-06,18:00:00
External Entry - Entry 1 Child,4,2,2,2022-06-06,18:30:00
External Entry - Entry 1 Child,0,0,0,2022-06-06,19:00:00
External Entry - Entry 1 Child,0,0,0,2022-06-06,19:30:00
External Entry - Entry 2 Mr Tulk Adult,23,19,4,2022-06-06,08:00:00
External Entry - Entry 2 Mr Tulk Adult,41,34,11,2022-06-06,08:30:00
External Entry - Entry 2 Mr Tulk Adult,38,28,21,2022-06-06,09:00:00
External Entry - Entry 2 Mr Tulk Adult,60,50,31,2022-06-06,09:30:00
External Entry - Entry 2 Mr Tulk Adult,64,33,31,2022-06-06,10:00:00
External Entry - Entry 2 Mr Tulk Adult,54,48,6,2022-06-06,10:30:00
External Entry - Entry 2 Mr Tulk Adult,48,49,-1,2022-06-06,11:00:00
External Entry - Entry 2 Mr Tulk Adult,96,50,46,2022-06-06,11:30:00
External Entry - Entry 2 Mr Tulk Adult,63,61,2,2022-06-06,12:00:00
External Entry - Entry 2 Mr Tulk Adult,56,66,-10,2022-06-06,12:30:00
External Entry - Entry 2 Mr Tulk Adult,58,48,10,2022-06-06,13:00:00
External Entry - Entry 2 Mr Tulk Adult,58,50,8,2022-06-06,13:30:00
External Entry - Entry 2 Mr Tulk Adult,46,48,-2,2022-06-06,14:00:00
External Entry - Entry 2 Mr Tulk Adult,30,41,-11,2022-06-06,14:30:00
External Entry - Entry 2 Mr Tulk Adult,25,31,-6,2022-06-06,15:00:00
External Entry - Entry 2 Mr Tulk Adult,31,29,2,2022-06-06,15:30:00
External Entry - Entry 2 Mr Tulk Adult,28,40,-12,2022-06-06,16:00:00
External Entry - Entry 2 Mr Tulk Adult,62,62,0,2022-06-06,16:30:00
External Entry - Entry 2 Mr Tulk Adult,5,4,1,2022-06-06,17:00:00
External Entry - Entry 2 Mr Tulk Adult,0,0,0,2022-06-06,17:30:00
External Entry - Entry 2 Mr Tulk Adult,0,0,0,2022-06-06,18:00:00
External Entry - Entry 2 Mr Tulk Adult,1,14,-13,2022-06-06,18:30:00
External Entry - Entry 2 Mr Tulk Adult,0,0,0,2022-06-06,19:00:00
External Entry - Entry 2 Mr Tulk Adult,0,0,0,2022-06-06,19:30:00
External Entry - Entry 2 Mr Tulk All,23,21,2,2022-06-06,08:00:00
External Entry - Entry 2 Mr Tulk All,41,34,9,2022-06-06,08:30:00
External Entry - Entry 2 Mr Tulk All,39,29,19,2022-06-06,09:00:00
External Entry - Entry 2 Mr Tulk All,62,50,31,2022-06-06,09:30:00
External Entry - Entry 2 Mr Tulk All,65,34,31,2022-06-06,10:00:00
External Entry - Entry 2 Mr Tulk All,56,49,7,2022-06-06,10:30:00
External Entry - Entry 2 Mr Tulk All,52,52,0,2022-06-06,11:00:00
External Entry - Entry 2 Mr Tulk All,97,54,43,2022-06-06,11:30:00
External Entry - Entry 2 Mr Tulk All,63,63,0,2022-06-06,12:00:00
External Entry - Entry 2 Mr Tulk All,56,67,-11,2022-06-06,12:30:00
External Entry - Entry 2 Mr Tulk All,61,50,11,2022-06-06,13:00:00
External Entry - Entry 2 Mr Tulk All,59,51,8,2022-06-06,13:30:00
External Entry - Entry 2 Mr Tulk All,47,49,-2,2022-06-06,14:00:00
External Entry - Entry 2 Mr Tulk All,31,42,-11,2022-06-06,14:30:00
External Entry - Entry 2 Mr Tulk All,25,31,-6,2022-06-06,15:00:00
External Entry - Entry 2 Mr Tulk All,31,30,1,2022-06-06,15:30:00
External Entry - Entry 2 Mr Tulk All,29,43,-14,2022-06-06,16:00:00
External Entry - Entry 2 Mr Tulk All,77,66,11,2022-06-06,16:30:00
External Entry - Entry 2 Mr Tulk All,6,4,2,2022-06-06,17:00:00
External Entry - Entry 2 Mr Tulk All,0,0,0,2022-06-06,17:30:00
External Entry - Entry 2 Mr Tulk All,0,0,0,2022-06-06,18:00:00
External Entry - Entry 2 Mr Tulk All,1,14,-13,2022-06-06,18:30:00
External Entry - Entry 2 Mr Tulk All,0,0,0,2022-06-06,19:00:00
External Entry - Entry 2 Mr Tulk All,0,0,0,2022-06-06,19:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,11,10,1,2022-06-06,08:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,20,17,4,2022-06-06,08:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,19,14,9,2022-06-06,09:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,31,25,15,2022-06-06,09:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,32,17,15,2022-06-06,10:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,28,24,3,2022-06-06,10:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,26,26,0,2022-06-06,11:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,48,27,21,2022-06-06,11:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,31,31,0,2022-06-06,12:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,28,33,-5,2022-06-06,12:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,30,25,5,2022-06-06,13:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,29,25,4,2022-06-06,13:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,23,24,-1,2022-06-06,14:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,15,21,-5,2022-06-06,14:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,12,15,-3,2022-06-06,15:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,15,15,0,2022-06-06,15:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,14,21,-7,2022-06-06,16:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,38,33,5,2022-06-06,16:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,3,2,1,2022-06-06,17:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,0,0,0,2022-06-06,17:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,0,0,0,2022-06-06,18:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,0,7,-6,2022-06-06,18:30:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,0,0,0,2022-06-06,19:00:00
External Entry - Entry 2 Mr Tulk All MATH ZONE,0,0,0,2022-06-06,19:30:00
External Entry - Entry 2 Mr Tulk Child,0,2,-2,2022-06-06,08:00:00
External Entry - Entry 2 Mr Tulk Child,0,0,-2,2022-06-06,08:30:00
External Entry - Entry 2 Mr Tulk Child,1,1,-2,2022-06-06,09:00:00
External Entry - Entry 2 Mr Tulk Child,2,0,0,2022-06-06,09:30:00
External Entry - Entry 2 Mr Tulk Child,1,1,0,2022-06-06,10:00:00
External Entry - Entry 2 Mr Tulk Child,2,1,1,2022-06-06,10:30:00
External Entry - Entry 2 Mr Tulk Child,4,3,1,2022-06-06,11:00:00
External Entry - Entry 2 Mr Tulk Child,1,4,-3,2022-06-06,11:30:00
External Entry - Entry 2 Mr Tulk Child,0,2,-2,2022-06-06,12:00:00
External Entry - Entry 2 Mr Tulk Child,0,1,-1,2022-06-06,12:30:00
External Entry - Entry 2 Mr Tulk Child,3,2,1,2022-06-06,13:00:00
External Entry - Entry 2 Mr Tulk Child,1,1,0,2022-06-06,13:30:00
External Entry - Entry 2 Mr Tulk Child,1,1,0,2022-06-06,14:00:00
External Entry - Entry 2 Mr Tulk Child,1,1,0,2022-06-06,14:30:00
External Entry - Entry 2 Mr Tulk Child,0,0,0,2022-06-06,15:00:00
External Entry - Entry 2 Mr Tulk Child,0,1,-1,2022-06-06,15:30:00
External Entry - Entry 2 Mr Tulk Child,1,3,-2,2022-06-06,16:00:00
External Entry - Entry 2 Mr Tulk Child,15,4,11,2022-06-06,16:30:00
External Entry - Entry 2 Mr Tulk Child,1,0,1,2022-06-06,17:00:00
External Entry - Entry 2 Mr Tulk Child,0,0,0,2022-06-06,17:30:00
External Entry - Entry 2 Mr Tulk Child,0,0,0,2022-06-06,18:00:00
External Entry - Entry 2 Mr Tulk Child,0,0,0,2022-06-06,18:30:00
External Entry - Entry 2 Mr Tulk Child,0,0,0,2022-06-06,19:00:00
External Entry - Entry 2 Mr Tulk Child,0,0,0,2022-06-06,19:30:00
External Entry - Entry 3 Adult,0,1,-1,2022-06-06,08:00:00
